COUNTRY_NAME,COUNTRY_CODE,YEAR,MENINGITIS,NEOPLASMS,FIRE__HEAT__AND_HOT_SUBSTANCES,MALARIA,DROWNING,INTERPERSONAL_VIOLENCE,HIV_AIDS,DRUG_USE_DISORDERS,TUBERCULOSIS,ROAD_INJURIES,MATERNAL_DISORDERS,LOWER_RESPIRATORY_INFECTIONS,NEONATAL_DISORDERS,ALCOHOL_USE_DISORDERS,EXPOSURE_TO_FORCES_OF_NATURE,DIARRHEAL_DISEASES,ENVIRONMENTAL_HEAT_AND_COLD_EXPOSURE,NUTRITIONAL_DEFICIENCIES,SELF_HARM,CONFLICT_AND_TERRORISM,DIABETES_MELLITUS,POISONINGS,PROTEIN_ENERGY_MALNUTRITION,TERRORISM,CARDIOVASCULAR_DISEASES,CHRONIC_KIDNEY_DISEASE,CHRONIC_RESPIRATORY_DISEASES,CIRRHOSIS_AND_OTHER_CHRONIC_LIVER_DISEASES,DIGESTIVE_DISEASES,ACUTE_HEPATITIS,ALZHEIMERS_DISEASE_AND_OTHER_DEMENTIAS,PARKINSONS_DISEASE
Belarus,BLR,2008,79.138723977433,20079.87266093077,789.0319072875366,0.0,1071.8322393496858,1298.1768767713222,325.92982121648527,317.5682523091881,729.2373939713904,1882.435264662805,17.941767364243805,1362.975087143839,327.4636782216525,2426.137709125353,5.463251,11.143472793703546,1156.210164991867,46.23675775008442,3594.365114436013,11.589220000000012,424.97543752543817,465.4362420698167,23.96465938747419,0.0,80064.16134251287,508.9929022602064,3172.608099471417,2967.625160790282,4931.693752196481,25.0,2778.0,595.0
Belarus,BLR,2010,73.99147781799986,21003.532892788146,804.2269513610621,0.0,1064.911437969567,1015.3436728814646,378.9252891308552,382.7692655341463,692.0836905596345,1695.185349070733,18.15495555209641,1421.0713889867077,289.6446212117125,2916.5776660464494,3.5962570000000014,12.07020026368766,1124.646923099354,50.91747522839083,3421.172709489584,7.666860000000007,402.83184018511713,468.9638900384778,26.244220399778577,0.0,81910.89783510314,515.4453343455245,2720.871794075937,3225.123413525426,5323.265698567429,26.0,2926.0,625.0
Belarus,BLR,2011,71.86392018879954,21181.216424280945,845.3778359255919,0.0,991.2458546190026,1203.7295382613636,411.5331461607529,364.1632374093306,668.0354890085924,1651.2911137296649,19.233725142092325,1430.1353242373643,275.8150648649665,2995.76786301871,6.005968000000004,12.94509875074855,1189.773901594321,53.611161121129165,3396.376087336276,26.018640000000016,402.4994001986605,443.50022603464953,27.44933185948274,13.0,83777.02964090838,524.5670951030343,2586.4551338173915,3329.1065952737245,5497.601415293585,28.0,3022.0,648.0
Belarus,BLR,2012,62.37761687426964,19223.68327828695,760.7922632475189,0.0,812.8592898391613,900.9824172680272,370.0086537459833,347.50122423175054,537.0511417458409,1371.5221945889698,17.157754801947895,1236.2169428909508,263.50962941171787,2899.157905765925,0.0,12.733797600840347,913.4438404061764,49.57898523751845,2819.742428722409,0.0,360.5025547970274,391.4745890556018,25.94216364088325,0.0,76746.96038156815,478.7624354208317,2303.89626382882,2742.229862729386,4718.340124787259,24.0,3081.0,616.0
Chad,TCD,2007,4355.030766559845,4284.497148712525,392.4560684374094,7343.090135633074,561.7724542636424,870.0579941930913,6036.851804778948,8.058128214766633,7281.46961909324,1991.9254922107093,2541.102789059342,18597.059745826016,12866.079001323227,64.44027909090248,29.0,29087.46985535625,110.44091284905294,3717.818029904054,758.7066708186361,377.99999999999926,1272.9955345661006,303.2529436022237,3626.75142824462,136.0,10543.217435983674,1360.8489398497366,2225.3798861614564,2146.0930127622914,3926.03782031797,727.0,520.0,153.0
Chad,TCD,2008,4398.2536165826905,4437.311879425778,398.907733350325,7663.57416418517,557.2061614261595,763.8686014613029,5313.374569458819,8.412369258978599,7243.088515198132,2039.739703508168,2615.2350100364265,18664.135463753963,13232.824463525229,66.50149042110114,0.0,29380.02975669686,112.42183037625362,3573.044202771496,778.6079069574622,1057.3470749999997,1313.8353467274803,308.5427576302794,3483.24050640785,172.0,10823.011882976993,1398.4463538458206,2273.928553306684,2196.375561133236,4013.830430707788,672.0,532.0,159.0
Chad,TCD,2009,4364.3945042330415,4596.037920878069,407.16718558742207,7952.271150344539,566.5420670352536,789.0333697390505,4586.015183463655,8.757486539172493,7189.070234606782,2081.671031626293,2648.9675357553265,18735.41092862346,13668.78477700416,68.63236347537635,5.999999999999993,29743.634456032167,114.10523948709208,3447.42895383521,796.4865425553533,137.6657749999999,1355.29569534691,313.78138150058936,3359.170837053665,0.0,11109.60457536907,1439.15356807305,2323.593606596422,2243.312455328622,4097.917988472042,619.0,543.0,164.0
Chad,TCD,2015,4450.862863245044,5529.553308253921,444.7116941562355,6415.724047937981,602.3587092418755,991.9806197695132,4788.3207303679865,11.61648826352942,7042.675009053438,2356.9611212865534,3011.36362276554,19108.594714147337,15804.511089038402,79.6254060160349,0.0,30484.92660509699,125.5194998877498,2796.0300965114507,878.9476233205129,543.1700780000002,1549.7154376675776,339.71041317646853,2714.4858998215764,306.0,12637.545577153029,1646.4872047561164,2552.467200790331,2616.399215624853,4707.91265043448,452.0,628.0,189.0
China,CHN,2008,8383.89858868474,2168067.3983637867,11363.1746667087,14.675979615013128,73623.72259495693,21774.62981427094,16309.792396506744,10288.495453888236,61286.26768800344,327299.2194152719,4533.553767601316,187558.99828570927,93539.13374567057,21408.39685947875,88420.66570694982,10058.202124065889,4675.741875695752,10622.768722229075,154709.5620426491,113.99999710900003,125045.29992642096,28939.33394658169,7906.119943145935,39.0,3523449.513705253,146413.05446771192,1149015.739634083,167954.7743966706,292927.5038316869,4757.0,197380.0,54828.0
China,CHN,2009,8394.2758173614,2214786.938312615,11346.046584350295,9.349971257709395,72888.23029712141,20659.05723550244,16364.15697579204,9981.104828321022,56959.20312914474,329236.6511845143,4206.602874775406,186989.7398286624,87452.65348810611,21192.17225525745,611.4255624299985,8901.077349110596,4447.46503858887,10874.230420132712,150571.7005720848,391.9999711500001,128146.86257565308,30105.300424978654,8097.976528638949,186.0,3669963.960813655,152838.03851211196,1145608.2619192216,164921.08142345474,288755.8393040812,4509.0,208139.0,57485.0
